number,name,position,age,nation,team,value
1,Lamine Yamal,Right Winger,18,Spain,FC Barcelona,€200.00m
2,Erling Haaland,Centre-Forward,25,Norway,Manchester City,€200.00m
3,Kylian Mbappé,Centre-Forward,26,France,Real Madrid,€200.00m
4,Jude Bellingham,Attacking Midfield,22,England,Real Madrid,€160.00m
5,Vinicius Junior,Left Winger,25,Brazil,Real Madrid,€150.00m
6,Pedri,Central Midfield,23,Spain,FC Barcelona,€140.00m
7,Jamal Musiala,Attacking Midfield,22,Germany,Bayern Munich,€140.00m
8,Michael Olise,Right Winger,24,France,Bayern Munich,€130.00m
9,Bukayo Saka,Right Winger,24,England,Arsenal FC,€130.00m
10,Cole Palmer,Attacking Midfield,23,England,Chelsea FC,€120.00m
11,Federico Valverde,Central Midfield,27,Uruguay,Real Madrid,€120.00m
12,Declan Rice,Central Midfield,26,England,Arsenal FC,€120.00m
13,Alexander Isak,Centre-Forward,26,Sweden,Liverpool FC,€120.00m
14,Moisés Caicedo,Defensive Midfield,24,Ecuador,Chelsea FC,€110.00m
15,Florian Wirtz,Attacking Midfield,22,Germany,Liverpool FC,€110.00m
16,Julián Alvarez,Centre-Forward,25,Argentina,Atlético de Madrid,€100.00m
17,Ousmane Dembélé,Centre-Forward,28,France,Paris Saint-Germain,€100.00m
18,Désiré Doué,Right Winger,20,France,Paris Saint-Germain,€90.00m
19,Arda Güler,Attacking Midfield,20,Türkiye,Real Madrid,€90.00m
20,João Neves,Central Midfield,21,Portugal,Paris Saint-Germain,€90.00m
21,Khvicha Kvaratskhelia,Left Winger,24,Georgia,Paris Saint-Germain,€90.00m
22,William Saliba,Centre-Back,24,France,Arsenal FC,€90.00m
23,Vitinha,Defensive Midfield,25,Portugal,Paris Saint-Germain,€90.00m
24,Ryan Gravenberch,Defensive Midfield,23,Netherlands,Liverpool FC,€90.00m
25,Hugo Ekitiké,Centre-Forward,23,France,Liverpool FC,€85.00m
26,Enzo Fernández,Central Midfield,24,Argentina,Chelsea FC,€85.00m
27,Alexis Mac Allister,Central Midfield,26,Argentina,Liverpool FC,€85.00m
28,Dominik Szoboszlai,Attacking Midfield,25,Hungary,Liverpool FC,€85.00m
29,Lautaro Martínez,Centre-Forward,28,Argentina,Inter Milan,€85.00m
30,Estêvão,Right Winger,18,Brazil,Chelsea FC,€80.00m
31,Pau Cubarsí,Centre-Back,18,Spain,FC Barcelona,€80.00m
32,Raphinha,Left Winger,28,Brazil,FC Barcelona,€80.00m
33,Phil Foden,Right Winger,25,England,Manchester City,€80.00m
34,Achraf Hakimi,Right-Back,27,Morocco,Paris Saint-Germain,€80.00m
35,Alessandro Bastoni,Centre-Back,26,Italy,Inter Milan,€80.00m
36,Kenan Yıldız,Left Winger,20,Türkiye,Juventus FC,€75.00m
37,Nuno Mendes,Left-Back,23,Portugal,Paris Saint-Germain,€75.00m
38,Bruno Guimarães,Central Midfield,28,Brazil,Newcastle United,€75.00m
39,Gabriel Magalhães,Centre-Back,27,Brazil,Arsenal FC,€75.00m
40,Martín Zubimendi,Defensive Midfield,26,Spain,Arsenal FC,€75.00m
41,Aurélien Tchouaméni,Defensive Midfield,25,France,Real Madrid,€75.00m
42,Bryan Mbeumo,Right Winger,26,Cameroon,Manchester United,€75.00m
43,Victor Osimhen,Centre-Forward,26,Nigeria,Galatasaray,€75.00m
44,Sandro Tonali,Defensive Midfield,25,Italy,Newcastle United,€75.00m
45,Rodri,Defensive Midfield,29,Spain,Manchester City,€75.00m
46,Marcus Thuram,Centre-Forward,28,France,Inter Milan,€75.00m
47,Martin Ødegaard,Attacking Midfield,26,Norway,Arsenal FC,€75.00m
48,Harry Kane,Centre-Forward,32,England,Bayern Munich,€75.00m
49,Dean Huijsen,Centre-Back,20,Spain,Real Madrid,€70.00m
50,Bradley Barcola,Left Winger,23,France,Paris Saint-Germain,€70.00m
